initial;code;name
A;728;Arme
A;729;Armi
A;731;Armis
A;732;Armit
A;733;Armitage, M.
A;734;Arms
A;735;Armstrong
A;736;Armstrong, J.
A;737;Armstrong, M.
A;738;Armstrong, S.
A;739;Armstrong, W.
A;741;Army
A;742;Arn
A;743;Arnal
A;744;Arnau
A;745;Arnaul
A;746;Arnay
A;747;Arnd
A;748;Arne
A;749;Arni
A;751;Arno
A;752;Arnold
A;753;Arnold, D.
A;754;Arnold, G.
A;755;Arnold, H.
A;756;Arnold, J.
A;757;Arnold, M.
A;758;Arnold, R.
A;759;Arnold, T.
A;761;Arnold, W.
A;762;Arnoldi
A;763;Arnon
A;764;Arnot
A;765;Arnou
A;766;Arnoult
A;767;Arns
A;768;Arnu
A;769;Aro
A;771;Arou
A;772;Arp
A;773;Arr
A;774;Arre
A;775;Arri
A;776;Arrig
A;777;Arriv
A;778;Arro
A;779;Arrows
A;781;Ars
A;782;Arsi
A;783;Arsl
A;784;Art
A;785;Artau
A;786;Arte
A;787;Arth
A;788;Arthur
A;789;Arthur, M.
A;791;Arthur, S.
A;792;Arto
A;793;Aru
A;794;Arunt
A;795;Arv
A;796;Arw
A;797;Arz
A;798;Asa
A;799;Asb
A;811;Asc
A;812;Asch
A;813;Aschen
A;814;Ascl
A;815;Asco
A;816;Ase
A;817;Asf
A;818;Asg
A;819;Ash
A;821;Ashbu
A;822;Ashburt
A;823;Ashby
A;824;Ashe
A;825;Asher
A;826;Ashl
A;827;Ashm
A;828;Asht
A;829;Ashton, M.
A;831;Ashw
A;832;Asi
A;833;Asio
A;834;Ask
A;835;Askew
A;836;Asm
A;837;Aso
A;838;Asp
A;839;Asper
A;841;Aspi
A;842;Aspl
A;843;Aspr
A;844;Ass
A;845;Assen
A;846;Asser
A;847;Assh
A;848;Assi
A;849;Asso
A;851;Assu
A;852;Ast
A;853;Aste
A;854;Asti
A;855;Astl
A;856;Asto
A;857;Aston
A;858;Astor
A;859;Astr
A;861;Asu
A;862;Ata
A;863;Atch
A;864;Ate
A;865;Ath
A;866;Athe
A;867;Athen
A;868;Ather
A;869;Atherton, M.
A;871;Athi
A;872;Ati
A;873;Atk
A;874;Atkins, M.
A;875;Atkinson
A;876;Atkinson, J.
A;877;Atkinson, M.
A;878;Atkinson, T.
A;879;Atky
A;881;Atl
A;882;Atr
A;883;Att
A;884;Atter
A;885;Atti
A;886;Attw
A;887;Atw
A;888;Aub
A;889;Aubert
A;891;Aubery
A;892;Aubes
A;893;Aubi
A;894;Aubin
A;895;Aubr
A;896;Aubry
A;897;Aubu
A;898;Auc
A;899;Aud
A;911;Audi
A;912;Audin
A;913;Audl
A;914;Audo
A;915;Audr
A;916;Audu
A;917;Aue
A;918;Auf
A;919;Aug
A;921;Augi
A;922;Augu
A;923;Augus
A;924;Aul
A;925;Aum
A;926;Aun
A;927;Aur
A;928;Auri
A;929;Auriv
A;931;Auro
A;932;Aus
A;933;Austen
A;934;Austen, M.
A;935;Austin
A;936;Austin, J.
A;937;Austin, M.
A;938;Austin, T.
A;939;Aut
A;941;Autr
A;942;Auv
A;943;Aux
A;944;Auz
A;945;Ava
A;946;Avan
A;947;Avau
A;948;Ave
A;949;Avell
A;951;Aven
A;952;Aver
A;953;Avero
A;954;Avery
A;955;Avery, M.
A;956;Avez
A;957;Avi
A;958;Avil
A;959;Avit
A;961;Avo
A;962;Avos
A;963;Avr
A;964;Awa
A;965;Awb
A;966;Awd
A;967;Awi
A;968;Ax
A;969;Axel
